0.0216sec. imr:26.1951
0.0217sec. imr:26.2249
0.0218sec. imr:26.2545
0.0219sec. imr:26.2843
0.022sec. imr:26.3139
0.0221sec. imr:26.3436
0.0222sec. imr:26.3732
0.0223sec. imr:26.4029
0.0224sec. imr:26.4325
0.0225sec. imr:26.4622
0.0226sec. imr:26.4918
0.0227sec. imr:26.5215
0.0228sec. imr:26.551
0.0229sec. imr:26.5807
0.023sec. imr:26.6102
0.0231sec. imr:26.6399
0.0232sec. imr:26.6694
0.0233sec. imr:26.6991
0.0234sec. imr:26.7286
0.0235sec. imr:26.7582
0.0236sec. imr:26.7877
0.0237sec. imr:26.8173
0.0238sec. imr:26.8468
0.0239sec. imr:26.8764
0.024sec. imr:26.9058
0.0241sec. imr:26.9354
0.0242sec. imr:26.9649
0.0243sec. imr:26.9945
0.0244sec. imr:27.0239
0.0245sec. imr:27.0534
0.0246sec. imr:27.0828
0.0247sec. imr:27.1124
0.0248sec. imr:27.1417
0.0249sec. imr:27.1713
0.025sec. imr:27.2006
0.0251sec. imr:27.2302
0.0252sec. imr:27.2595
0.0253sec. imr:27.289
0.0254sec. imr:27.3183
0.0255sec. imr:27.3478
0.0256sec. imr:27.3771
0.0257sec. imr:27.4066
0.0258sec. imr:27.4359
0.0259sec. imr:27.4654
0.026sec. imr:27.4946
0.0261sec. imr:27.5241
0.0262sec. imr:27.5534
0.0263sec. imr:27.5828
0.0264sec. imr:27.612
0.0265sec. imr:27.6414
0.0266sec. imr:27.6707
0.0267sec. imr:27.7001
0.0268sec. imr:27.7293
0.0269sec. imr:27.7587
0.027sec. imr:27.7879
0.0271sec. imr:27.8172
0.0272sec. imr:27.8464
0.0273sec. imr:27.8758
0.0274sec. imr:27.9049
0.0275sec. imr:27.9343
0.0276sec. imr:27.9634
0.0277sec. imr:27.9927
0.0278sec. imr:28.0219
0.0279sec. imr:28.0512
0.028sec. imr:28.0803
0.0281sec. imr:28.1096
0.0282sec. imr:28.1387
0.0283sec. imr:28.168
0.0284sec. imr:28.1971
0.0285sec. imr:28.2263
0.0286sec. imr:28.2554
0.0287sec. imr:28.2847
0.0288sec. imr:28.3137
0.0289sec. imr:28.3429
0.029sec. imr:28.372
0.0291sec. imr:28.4012
0.0292sec. imr:28.4302
0.0293sec. imr:28.4594
0.0294sec. imr:28.4884
0.0295sec. imr:28.5176
0.0296sec. imr:28.5466
0.0297sec. imr:28.5758
0.0298sec. imr:28.6048
0.0299sec. imr:28.6339
0.03sec. imr:28.6629
0.0301sec. imr:28.692
0.0302sec. imr:28.721
0.0303sec. imr:28.7501
0.0304sec. imr:28.779
0.0305sec. imr:28.8081
0.0306sec. imr:28.8371
0.0307sec. imr:28.8661
0.0308sec. imr:28.8951
0.0309sec. imr:28.9241
0.031sec. imr:28.953
0.0311sec. imr:28.9821
0.0312sec. imr:29.011
0.0313sec. imr:29.04
0.0314sec. imr:29.0689
0.0315sec. imr:29.0979
0.0316sec. imr:29.1267
0.0317sec. imr:29.1558
0.0318sec. imr:29.1846
0.0319sec. imr:29.2136
0.032sec. imr:29.2424
0.0321sec. imr:29.2714
0.0322sec. imr:29.3002
0.0323sec. imr:29.3292
0.0324sec. imr:29.3579
0.0325sec. imr:29.3869
0.0326sec. imr:29.4157
0.0327sec. imr:29.4446
0.0328sec. imr:29.4734
0.0329sec. imr:29.5023
0.033sec. imr:29.531
0.0331sec. imr:29.5599
0.0332sec. imr:29.5887
0.0333sec. imr:29.6175
0.0334sec. imr:29.6463
0.0335sec. imr:29.6751
0.0336sec. imr:29.7038
0.0337sec. imr:29.7327
0.0338sec. imr:29.7614
0.0339sec. imr:29.7902
0.034sec. imr:29.8189
0.0341sec. imr:29.8477
0.0342sec. imr:29.8764
0.0343sec. imr:29.9052
0.0344sec. imr:29.9338
0.0345sec. imr:29.9626
0.0346sec. imr:29.9913
0.0347sec. imr:30.02
0.0348sec. imr:30.0487
0.0349sec. imr:30.0774
0.035sec. imr:30.106
0.0351sec. imr:30.1348
0.0352sec. imr:30.1634
0.0353sec. imr:30.1921
0.0354sec. imr:30.2207
0.0355sec. imr:30.2494
0.0356sec. imr:30.278
0.0357sec. imr:30.3067
0.0358sec. imr:30.3352
0.0359sec. imr:30.3639
0.036sec. imr:30.3924
0.0361sec. imr:30.4211
0.0362sec. imr:30.4496
0.0363sec. imr:30.4783
0.0364sec. imr:30.5068
0.0365sec. imr:30.5354
0.0366sec. imr:30.5639
0.0367sec. imr:30.5925
0.0368sec. imr:30.621
0.0369sec. imr:30.6496
0.037sec. imr:30.6781
0.0371sec. imr:30.7067
0.0372sec. imr:30.7351
0.0373sec. imr:30.7637
0.0374sec. imr:30.7921
0.0375sec. imr:30.8207
0.0376sec. imr:30.8491
0.0377sec. imr:30.8776
0.0378sec. imr:30.906
0.0379sec. imr:30.9346
0.038sec. imr:30.963
0.0381sec. imr:30.9915
0.0382sec. imr:31.0199
0.0383sec. imr:31.0484
0.0384sec. imr:31.0767
0.0385sec. imr:31.1052
0.0386sec. imr:31.1336
0.0387sec. imr:31.162
0.0388sec. imr:31.1904
0.0389sec. imr:31.2188
0.039sec. imr:31.2471
0.0391sec. imr:31.2756
0.0392sec. imr:31.3039
0.0393sec. imr:31.3323
0.0394sec. imr:31.3606
0.0395sec. imr:31.389
